Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C10 C12 C13 C15 C16 C18 C19 C21 C3 C4 C6 C7 C9,0.1uF,14,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
2,C11 C14 C17 C2 C20 C5 C8,8.2nF,7,CAP CER 8200PF 50V 5% NP0 1210,399-7456-1-ND,digikey
3,D1 D2 D3 D4 D5 D6 D7 D8,LED_24V_SMD,8,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
4,P1,HEADER_02X08_SMD,1,CONN HEADER LO-PRO 16POS AU SMD,HSL16H-ND,digikey
5,P2,HEADER_02X05_SMD,1,CONN_HEADR_2.54MM_10POS_GOLD_SMD,S9185-ND,digikey
6,R1 R2 R3 R4 R5 R6 R7,200k,7,RES SMD 200K OHM 1% 1/2W 1210,P200KAACT-ND,digikey
7,S1 S2 S3 S4 S5 S6 S7,HEADER_01X02_SMD,7,CONN HEADER 2POS .100 VERT GOLD,609-3500-ND,digikey
8,S8,LEE_VALVE_PLUG_IN,1,CONN RCPT PIN .025-.037in SOLDER,ED90331-ND,digikey
9,U1 U11 U13 U3 U5 U7 U9,HALL_DRV5053,7,IC HALL SENSOR 9mT,296-38460-1-ND,digikey
10,U10 U12 U14 U2 U4 U6 U8,MAX4215,7,IC OPAMP BUFFER 230MHZ RRO 8SOIC,MAX4215ESA+-ND,digikey
