Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C3 C5,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
2,C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C6 C7 C8 C9,0.1uF,28,CAP CER 0.1UF 50V 10% X7R 0805,445-8166-1-ND,digikey
3,C2 C4,22uF,2,CAP TANT 22UF 20V 10% 1210,478-1683-1-ND,digikey
4,D1,LED_0805,1,LED GREEN CLEAR 0805 SMD,160-1179-1-ND,digikey
5,P1,PWR_JACK_2.1x5.5,1,CONN PWR JACK DC 2.1X5.5 8A T/H,CP-063AH-ND,digikey
6,P2 P3 P4 P5,HEADER_02X05_SMD,4,CONN_HEADR_2.54MM_10POS_GOLD_SMD,S9185-ND,digikey
7,R1,1k,1,RES SMD 1K OHM 1% 1/8W 0805,P1.00KCCT-ND,digikey
8,R10 R11 R14 R15 R18 R19 R2 R22 R23 R26 R27 R3 R30 R31 R34 R35 R38 R39 R42 R43 R46 R47 R50 R51 R54 R55 R6 R7,3.16M,28,RES SMD 3.16M OHM 1% 1/8W 0805,311-3.16MCRCT-ND,digikey
9,R12 R16 R20 R24 R28 R32 R36 R4 R40 R44 R48 R52 R56 R8,49.9k,14,RES SMD 49.9K OHM 1% 1/8W 0805,P49.9KCCT-ND,digikey
10,R13 R17 R21 R25 R29 R33 R37 R41 R45 R49 R5 R53 R57 R9,42.2k,14,RES SMD 44.2K OHM 1% 1/8W 0805,P44.2KCCT-ND,digikey
11,U1,CONV_+9V_-9V_SIP8,1,CONV DC/DC 2W 9-36VIN +/-09VOUT,945-2401-5-ND,digikey
12,U10 U11 U12 U13 U14 U15 U2 U3 U4 U5 U6 U7 U8 U9,UAF42,14,IC UNIV ACTIVE FILTER 16-SOIC,UAF42AU-ND,digikey
