Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C10 C13 C16 C19 C38 C39 C4 C40 C41 C42 C43 C44 C7,0.1uF,14,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
2,C22 C23 C24 C25 C30 C31 C32 C33,1uF,8,CAP TANT 1UF 50V 20% 0805,718-1720-1-ND,digikey
3,C26 C27 C28 C29 C34 C35 C36 C37,10nF,8,CAP CER 10000PF 50V 5% X7R 0402,399-7758-1-ND,digikey
4,C45 C47,22uF,2,CAP TANT 22UF 20V 10% 1210,478-1683-1-ND,digikey
5,C46 C48,10uF,2,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
6,D1 D2 D3 D4 D5 D6 D7 D8,LED_0805,8,LED GREEN CLEAR 0805 SMD,160-1179-1-ND,digikey
7,D10 D11 D12 D13 D14 D15 D16 D9,diode_schottky_20V_1A,8,DIODE SCHOTTKY 20V 1A 0805,478-7800-1-ND,digikey
8,P1,HEADER_02X07_SMD,1,CONN HEADR 2.54MM 14POS GOLD SMD,S9186-ND,digikey
9,P2 P3,HEADER_02X05_SMD,2,CONN_HEADR_2.54MM_10POS_GOLD_SMD,S9185-ND,digikey
10,R10 R11 R12 R13 R14 R15 R8 R9,300,8,RES SMD 300 OHM 1% 1/10W 0402,P300LCT-ND,digikey
11,R16 R18 R20 R22 R24 R26 R28 R30,205k,8,RES SMD 205K OHM 1% 1/10W 0402,P205KLCT-ND,digikey
12,R17 R19 R21 R23 R25 R27 R29,110k,7,RES SMD 110K OHM 1% 1/10W 0402,P110KLCT-ND,digikey
13,R31,137k,1,RES SMD 137K OHM 1% 1/10W 0402,P137KLCT-ND,digikey
14,S1,HEADER_01X02_SMD_N,1,CONN BREAKAWAY SMD HDR 2POS,WM9852-ND,digikey
15,S2 S3 S4 S5 S6 S7,HEADER_01X02_SMD,6,CONN BREAKAWAY SMD HDR 2POS,WM9852-ND,digikey
16,S8,LEE_VALVE_PLUG_IN,1,CONN RCPT PIN .025-.037in SOLDER,ED90331-ND,digikey
17,U1 U11 U13 U3 U5 U7 U9,VA,7,IC HALL SENSOR VA -9mT,296-38460-1-ND,digikey
18,U15 U16 U17 U18 U19 U20 U21 U22,DRV103,8,IC LO-SIDE DRIVER PWM 8SOIC,296-11622-ND,digikey
19,U23 U24 U25 U26 U27 U28 U29,OA,7,IC HALL SENSOR OA -73mT,296-38457-1-ND,digikey
