Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C11 C13 C15 C3 C5 C7 C9,1uF,8,CAP TANT 1UF 50V 20% 0805,718-1720-1-ND,digikey
2,C10 C12 C14 C16 C2 C4 C6 C8,10nF,8,CAP CER 10000PF 50V 5% X7R 0402,399-7758-1-ND,digikey
3,D1 D2 D3 D4 D5 D6 D7 D8,diode_schottky_20V_1A,8,DIODE SCHOTTKY 20V 1A 0805,478-7800-1-ND,digikey
4,D10 D11 D12 D13 D14 D15 D16 D9,LED_0805,8,LED GREEN CLEAR 0805 SMD,160-1179-1-ND,digikey
5,P1,HEADER_02X07_SMD,1,CONN HEADR 2.54MM 14POS GOLD SMD,S9186-ND,digikey
6,R1 R11 R13 R15 R3 R5 R7 R9,205k,8,RES SMD 205K OHM 1% 1/10W 0402,P205KLCT-ND,digikey
7,R10 R12 R14 R16 R2 R4 R6 R8,137k,8,RES SMD 137K OHM 1% 1/10W 0402,P137KLCT-ND,digikey
8,R17 R18 R19 R20 R21 R22 R23 R24,300,8,RES SMD 300 OHM 1% 1/10W 0402,P300LCT-ND,digikey
9,S1 S2 S3 S4 S5 S6 S7 S8,LEE_VALVE_PLUG_IN,8,CONN RCPT PIN .025-.037in SOLDER,ED90331-ND,digikey
10,U1 U2 U3 U4 U5 U6 U7 U8,DRV103,8,IC LO-SIDE DRIVER PWM 8SOIC,296-11622-ND,digikey
